hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
15.0,348,135,182,338,417,116,330,225,258,23,9,12,8,10,5,37,5,3,1,20,17
16.0,194,97,125,158,278,92,249,118,156,12,3,2,5,6,8,21,1,4,2,14,10
17.0,620,64,258,122,727,181,359,139,132,23,5,12,1,10,5,72,5,1,16,15,3
18.0,125,75,52,57,141,24,82,37,38,4,2,1,0,12,3,9,2,1,3,6,1
19.0,75,53,33,58,82,21,68,22,19,6,0,2,2,9,1,7,1,1,4,7,3
20.0,90,50,26,51,88,28,62,21,35,4,0,1,3,3,1,5,0,0,6,6,1
21.0,163,133,46,74,115,43,93,55,42,11,0,6,2,8,5,8,1,2,5,4,6
22.0,264,209,77,189,271,72,140,107,88,10,2,4,4,6,2,6,1,0,4,8,9
23.0,332,203,121,283,327,90,226,143,142,17,3,7,6,15,6,15,3,1,5,10,14
